Player,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
GG Jackson,MEM,20,25,16,9,406.3,196,69,176,39.2,30,89,33.7,28,38,73.7,24,57,81,26,28,10,5,27,349,0,0,-68
Brandon Williams,DAL,25,27,11,16,368.1,195,69,139,49.6,19,52,36.5,38,46,82.6,7,36,43,57,26,17,3,23,366,0,0,-13
Steven Adams,HOU,31,52,34,18,683.8,194,79,148,53.4,0,1,0.0,36,85,42.4,148,136,284,63,49,19,25,52,712,3,0,144
Gui Santos,GSW,22,46,29,17,624.9,192,69,144,47.9,30,82,36.6,24,34,70.6,53,90,143,63,36,18,9,76,503,0,0,112
Adem Bona,PHI,21,47,11,36,585.2,187,71,104,68.3,0,0,0.0,45,66,68.2,60,95,155,16,34,14,41,91,528,1,0,-19
Oso Ighodaro,PHX,22,50,23,27,783.3,185,81,135,60.0,0,2,0.0,23,41,56.1,49,129,178,55,32,20,21,80,572,0,0,71
Tre Mann,CHA,24,13,6,7,319.0,183,70,161,43.5,24,60,40.0,19,21,90.5,12,26,38,39,25,7,4,24,295,0,0,-55
Tristan Vukcevic,WAS,22,25,4,21,280.2,183,66,132,50.0,23,63,36.5,28,36,77.8,17,62,79,24,19,10,13,31,364,0,0,-19
Pelle Larsson,MIA,24,47,18,29,592.6,180,64,147,43.5,23,73,31.5,29,43,67.4,18,48,66,43,16,18,4,77,374,0,0,-33
KJ Simpson,CHA,22,25,2,23,524.9,176,61,184,33.2,18,79,22.8,36,43,83.7,29,41,70,70,37,20,4,37,400,0,0,-163
Reed Sheppard,HOU,20,45,26,19,536.2,174,65,196,33.2,31,111,27.9,13,16,81.3,16,47,63,54,28,28,15,42,432,0,0,-15
Kessler Edwards,DAL,24,39,17,22,589.8,168,67,135,49.6,22,54,40.7,12,13,92.3,22,89,111,42,16,19,20,61,465,1,0,-139
Jae'Sean Tate,HOU,29,47,34,13,530.5,167,62,135,45.9,12,38,31.6,31,45,68.9,47,62,109,40,19,24,6,77,429,0,0,26
Grant Williams,CHA,26,16,6,10,479.0,166,54,123,43.9,27,74,36.5,31,37,83.8,18,64,82,37,28,18,13,46,385,0,0,10
Danté Exum,DAL,29,18,6,12,344.1,164,60,125,48.0,21,47,44.7,23,31,74.2,4,26,30,50,19,12,3,31,301,0,0,-64
DeAndre Jordan,DEN,36,47,32,15,566.1,164,74,113,65.5,0,0,0.0,16,40,40.0,67,162,229,40,34,13,20,61,564,1,0,-32
Duop Reath,POR,28,40,17,23,387.1,164,59,137,43.1,30,90,33.3,16,18,88.9,34,43,77,23,14,10,13,35,346,0,0,-4
Daniel Theis,NOP,32,38,10,28,621.2,162,61,129,47.3,9,37,24.3,31,37,83.8,44,120,164,60,25,18,20,70,538,1,0,-61
Zeke Nnaji,DEN,24,51,34,17,531.0,158,62,125,49.6,13,44,29.5,21,36,58.3,30,52,82,18,12,21,32,57,430,0,0,-8
Charles Bassey,SAS,24,34,14,20,362.6,157,68,116,58.6,0,0,0.0,21,33,63.6,56,95,151,17,23,14,29,47,470,2,0,-119
Paul Reed,DET,25,38,20,18,350.1,156,61,114,53.5,7,22,31.8,27,34,79.4,35,64,99,36,20,36,19,57,474,0,0,55
Blake Wesley,SAS,22,46,20,26,446.6,153,58,125,46.4,11,38,28.9,26,40,65.0,8,28,36,89,39,26,4,27,381,0,0,73
Caleb Houstan,ORL,22,47,21,26,548.0,152,49,132,37.1,41,114,36.0,13,14,92.9,13,34,47,20,6,15,3,45,286,0,0,-97
Malaki Branham,SAS,21,39,16,23,321.6,152,54,125,43.2,24,61,39.3,20,25,80.0,3,36,39,28,30,8,2,17,241,0,0,-46
Antonio Reeves,NOP,22,34,4,30,355.6,151,57,129,44.2,26,69,37.7,11,13,84.6,14,22,36,23,17,12,2,17,254,0,0,-83
Keaton Wallace,ATL,26,28,13,15,454.3,151,57,138,41.3,26,73,35.6,11,11,100,7,31,38,62,29,22,8,36,351,0,0,-32
Bones Hyland,MIN,24,22,10,12,235.4,149,47,118,39.8,32,82,39.0,23,26,88.5,5,19,24,31,25,18,4,29,265,0,0,-34
Jordan Miller,LAC,25,34,18,16,411.2,148,57,131,43.5,8,37,21.6,26,33,78.8,23,35,58,34,24,17,5,25,311,0,0,-59
Landry Shamet,NYK,28,38,23,15,497.0,147,58,133,43.6,26,80,32.5,5,9,55.6,6,33,39,18,17,19,2,38,267,0,0,38
Jock Landale,HOU,29,36,23,13,382.6,143,56,116,48.3,7,17,41.2,24,35,68.6,46,65,111,28,16,7,9,38,350,1,0,-35
Ousmane Dieng,OKC,21,37,30,7,404.8,142,54,125,43.2,23,71,32.4,11,16,68.8,18,63,81,31,18,17,7,33,340,0,0,45
David Roddy,HOU,23,30,9,21,374.9,140,52,112,46.4,18,54,33.3,18,22,81.8,13,66,79,33,21,14,8,19,329,0,0,-64
Jaylen Clark,MIN,23,30,20,10,424.5,139,49,102,48.0,21,47,44.7,20,26,76.9,21,18,39,20,5,33,1,48,313,0,0,32
Micah Potter,UTA,26,33,9,24,583.0,139,47,111,42.3,29,82,35.4,16,18,88.9,37,100,137,26,26,11,11,43,382,0,0,-60
Jalen Pickett,DEN,25,39,26,13,443.5,138,54,126,42.9,28,69,40.6,2,2,100,7,37,44,73,17,14,3,29,334,0,0,50
Mo Bamba,NOP,26,32,19,13,413.5,138,52,112,46.4,15,54,27.8,19,27,70.4,32,113,145,18,20,9,31,56,439,0,0,-75
Terrence Shannon Jr.,MIN,24,30,20,10,333.0,138,55,114,48.2,11,31,35.5,17,21,81.0,10,36,46,31,14,7,5,26,262,1,0,8
Pat Connaughton,MIL,32,34,14,20,472.8,137,51,120,42.5,20,64,31.3,15,19,78.9,17,67,84,55,20,7,9,34,348,0,0,-12
A.J. Lawson,TOR,24,15,8,7,276.5,136,46,116,39.7,23,65,35.4,21,32,65.6,12,36,48,14,8,4,2,27,225,1,0,-12
Reggie Jackson,PHI,34,31,11,20,384.0,136,52,133,39.1,25,74,33.8,7,9,77.8,8,34,42,45,17,16,3,34,294,0,0,-19
Mouhamed Gueye,ATL,22,23,10,13,371.1,135,52,125,41.6,15,63,23.8,16,21,76.2,20,54,74,18,9,21,25,37,380,1,0,27
Jeff Green,HOU,38,27,18,9,328.2,133,48,95,50.5,20,58,34.5,17,20,85.0,9,37,46,13,8,5,4,26,227,0,0,-31
Kyle Lowry,PHI,38,33,14,19,623.1,133,39,111,35.1,28,83,33.7,27,33,81.8,11,54,65,93,20,31,10,61,454,0,0,-56
Craig Porter Jr.,CLE,25,45,37,8,388.5,129,51,94,54.3,15,33,45.5,12,17,70.6,11,37,48,59,25,13,13,19,328,0,0,-3
Luka Garza,MIN,26,34,24,10,209.6,129,49,102,48.0,10,36,27.8,21,31,67.7,31,21,52,10,11,6,3,28,222,0,0,-3
Vince Williams Jr.,MEM,24,19,7,12,353.5,125,47,124,37.9,16,68,23.5,15,20,75.0,17,54,71,39,25,11,5,35,292,0,0,-17
Wendell Moore Jr.,CHA,23,32,11,21,423.3,125,48,104,46.2,11,32,34.4,18,22,81.8,26,58,84,37,20,15,5,29,321,1,0,-96
Jaylon Tyson,CLE,22,42,34,8,371.2,124,47,106,44.3,14,42,33.3,16,20,80.0,31,49,80,38,19,9,2,43,291,1,0,0
Kevin Love,MIA,36,23,13,10,251.5,122,41,115,35.7,24,67,35.8,16,23,69.6,22,72,94,22,14,15,4,21,311,0,0,-25
Quenton Jackson,IND,26,23,11,12,305.2,122,46,94,48.9,11,29,37.9,19,25,76.0,12,23,35,40,14,13,5,39,264,0,0,-25
Cory Joseph,ORL,33,40,18,22,409.0,121,43,106,40.6,26,72,36.1,9,12,75.0,11,31,42,44,14,18,4,36,289,0,0,11
Trevelin Queen,ORL,28,28,12,16,386.0,121,45,128,35.2,16,66,24.2,15,17,88.2,22,23,45,33,21,27,10,37,315,0,0,-93
Isaiah Wong,CHA,24,20,2,18,265.5,120,41,105,39.0,13,33,39.4,25,34,73.5,14,18,32,28,18,11,0,21,215,0,0,-6
Jordan Goodwin,LAL,26,17,10,7,368.0,119,46,96,47.9,19,45,42.2,8,9,88.9,26,46,72,26,14,22,9,30,323,0,0,-21
Robert Williams III,POR,27,20,7,13,351.3,116,50,78,64.1,1,3,33.3,15,17,88.2,35,83,118,21,17,13,33,31,410,0,0,-17
Devin Carter,SAC,23,27,13,14,292.0,115,38,97,39.2,14,49,28.6,25,42,59.5,14,49,63,34,12,15,3,24,284,0,0,2
Isaac Jones,SAC,24,31,14,17,256.8,115,46,68,67.6,2,6,33.3,21,34,61.8,18,28,46,10,14,4,8,27,207,0,0,-66
Jevon Carter,CHI,29,31,10,21,231.3,113,40,98,40.8,25,70,35.7,8,10,80.0,2,27,29,31,9,9,3,11,221,0,0,22
Doug McDermott,SAC,33,36,18,18,285.6,112,38,91,41.8,33,78,42.3,3,5,60.0,2,16,18,4,6,4,2,27,152,0,0,13
Hunter Tyson,DEN,24,46,28,18,352.7,111,37,96,38.5,19,62,30.6,18,25,72.0,22,49,71,18,14,8,5,40,248,0,0,-76
Kai Jones,DAL,24,31,16,15,290.6,110,48,61,78.7,0,2,0.0,14,18,77.8,21,51,72,14,12,6,16,32,271,1,0,2
Anthony Gill,WAS,32,46,6,40,313.0,107,35,66,53.0,8,23,34.8,29,44,65.9,10,36,46,14,10,8,2,26,203,0,0,-28
Dominick Barlow,ATL,21,25,9,16,256.4,107,43,83,51.8,6,19,31.6,15,22,68.2,21,37,58,12,3,7,14,25,255,1,0,-28
Marvin Bagley III,MEM,26,26,5,21,215.5,107,43,84,51.2,3,15,20.0,18,27,66.7,32,35,67,7,11,7,7,14,229,0,0,-11
Jarred Vanderbilt,LAL,25,25,18,7,418.0,106,42,84,50.0,9,29,31.0,13,25,52.0,42,82,124,32,21,26,6,45,378,0,0,15
Cam Reddish,LAL,25,33,15,18,589.5,105,38,94,40.4,13,47,27.7,16,26,61.5,17,49,66,22,12,33,10,43,334,0,0,-91
Gary Harris,ORL,30,37,20,17,566.0,105,37,105,35.2,25,81,30.9,6,10,60.0,16,32,48,20,12,21,10,36,274,0,0,28
Maxi Kleber,LAL,33,34,18,16,636.9,103,37,96,38.5,13,49,26.5,16,21,76.2,25,70,95,43,23,9,17,66,337,0,0,-17
Dillon Jones,OKC,23,43,36,7,408.3,100,37,106,34.9,12,56,21.4,14,24,58.3,23,66,89,45,17,10,3,41,296,0,0,47
Jericho Sims,MIL,26,53,34,19,631.2,98,45,71,63.4,0,0,0.0,8,13,61.5,71,126,197,33,33,10,19,65,438,0,0,25
Torrey Craig,BOS,34,20,12,8,213.0,98,34,72,47.2,22,54,40.7,8,12,66.7,20,24,44,9,2,4,6,26,192,0,0,-38
Dwight Powell,DAL,33,46,21,25,447.8,96,36,49,73.5,1,2,50.0,23,37,62.2,41,59,100,47,15,13,21,63,374,0,0,-28
Bismack Biyombo,SAS,32,18,7,11,316.0,95,43,64,67.2,0,0,0.0,9,19,47.4,28,63,91,22,16,12,13,33,296,3,0,-59
John Konchar,MEM,29,39,23,16,483.7,94,34,80,42.5,19,55,34.5,7,8,87.5,32,97,129,35,15,19,14,31,385,0,0,32
Jamal Cain,NOP,26,28,4,24,321.5,93,31,79,39.2,14,45,31.1,17,26,65.4,20,36,56,16,12,13,8,29,235,0,0,-67
Josh Minott,MIN,22,40,27,13,253.9,92,35,79,44.3,9,36,25.0,13,15,86.7,10,32,42,16,10,15,12,30,237,0,0,-34
Damion Baugh,CHA,24,11,1,10,286.7,91,35,100,35.0,10,44,22.7,11,13,84.6,8,26,34,43,21,14,1,18,220,0,0,-141
Patty Mills,LAC,36,25,8,17,297.9,89,30,86,34.9,21,67,31.3,8,9,88.9,3,18,21,25,17,13,3,19,183,0,0,-8
Rayan Rupert,POR,20,43,19,24,311.7,89,32,82,39.0,10,37,27.0,15,20,75.0,21,25,46,18,21,8,2,24,180,0,0,-84
Trey Jemison III,LAL,25,32,14,18,353.9,88,38,70,54.3,0,0,0.0,12,31,38.7,38,54,92,14,18,8,14,64,267,0,0,-11
Dru Smith,MIA,27,14,8,6,268.2,87,31,61,50.8,16,30,53.3,9,12,75.0,12,24,36,23,17,21,6,30,229,0,0,38
Taj Gibson,CHA,39,29,9,20,319.6,86,37,74,50.0,1,2,50.0,11,16,68.8,43,57,100,16,20,8,12,44,270,1,0,-92
AJ Johnson,WAS,20,17,5,12,228.8,85,33,76,43.4,11,33,33.3,8,11,72.7,3,23,26,38,15,7,1,12,182,0,0,29
Lonnie Walker IV,PHI,26,11,2,9,203.3,85,29,82,35.4,17,51,33.3,10,12,83.3,4,29,33,20,12,6,3,7,170,1,0,-89
Christian Koloko,LAL,24,34,22,12,318.0,84,38,62,61.3,0,3,0.0,8,10,80.0,32,50,82,16,12,7,11,41,248,0,0,-11
Collin Gillespie,PHX,25,22,10,12,210.2,84,29,65,44.6,14,33,42.4,12,13,92.3,12,24,36,40,6,6,3,20,208,0,0,52
Pat Spencer,GSW,28,32,19,13,214.5,83,35,89,39.3,2,17,11.8,11,15,73.3,15,29,44,38,15,12,3,18,223,0,0,-18
Johnny Davis,WAS,23,34,4,30,241.7,80,32,78,41.0,7,29,24.1,9,15,60.0,10,28,38,11,7,15,6,18,198,0,0,-26
Colin Castleton,TOR,24,19,13,6,286.4,78,27,61,44.3,1,9,11.1,23,28,82.1,35,42,77,17,20,7,9,31,224,0,0,-29
Moses Brown,DAL,25,13,5,8,118.6,76,34,49,69.4,0,0,0.0,8,11,72.7,12,32,44,2,11,6,4,17,151,1,0,-14
Branden Carlson,OKC,25,22,20,2,150.7,75,26,55,47.3,18,43,41.9,5,7,71.4,9,27,36,9,4,4,11,15,173,0,0,32
Cam Spencer,MEM,24,18,10,8,190.4,74,23,54,42.6,13,34,38.2,15,15,100,9,16,25,24,5,6,1,18,156,0,0,18
Delon Wright,NYK,32,31,16,15,425.1,72,24,85,28.2,13,51,25.5,11,20,55.0,16,33,49,51,15,24,10,17,294,0,0,18
Jaden Springer,UTA,22,34,21,13,224.3,72,21,53,39.6,9,28,32.1,21,31,67.7,7,25,32,22,10,17,3,27,193,0,0,-4
Jordan Walsh,BOS,21,44,33,11,349.1,72,26,67,38.8,13,44,29.5,7,12,58.3,20,36,56,16,11,10,9,27,209,0,0,49
Jared Rhoden,TOR,25,10,6,4,158.5,71,24,60,40.0,8,28,28.6,15,18,83.3,11,19,30,8,7,7,2,13,139,1,0,32
Jordan McLaughlin,SAS,28,37,15,22,226.7,71,21,50,42.0,13,30,43.3,16,21,76.2,4,20,24,35,12,13,0,14,179,0,0,42
MarJon Beauchamp,NYK,24,32,18,14,148.5,71,25,61,41.0,10,28,35.7,11,16,68.8,10,29,39,10,15,4,1,14,133,0,0,15
Alex Len,LAL,31,45,21,24,366.2,70,30,59,50.8,2,8,25.0,8,17,47.1,38,55,93,37,17,9,20,50,307,0,0,-138
Kobe Brown,LAC,25,33,18,15,228.3,68,30,63,47.6,4,21,19.0,4,5,80.0,18,38,56,20,8,6,3,20,184,0,0,-52
Jaylen Nowell,NOP,25,8,1,7,168.1,67,26,73,35.6,8,27,29.6,7,11,63.6,6,14,20,18,8,1,4,9,125,0,0,-42
Johnny Furphy,IND,20,41,24,17,272.7,66,23,63,36.5,11,36,30.6,9,9,100,17,31,48,10,9,14,8,29,196,0,0,-20
Colby Jones,WAS,22,29,10,19,201.7,62,25,46,54.3,8,17,47.1,4,6,66.7,12,24,36,16,9,12,8,18,180,0,0,-2
De'Anthony Melton,BKN,26,6,4,2,121.0,62,22,54,40.7,13,35,37.1,5,8,62.5,6,14,20,17,10,7,2,18,129,1,0,27
Tyler Kolek,NYK,23,34,22,12,177.4,61,21,56,37.5,11,31,35.5,8,9,88.9,3,13,16,32,9,10,1,15,152,0,0,-12
Damion Lee,PHX,32,18,5,13,108.5,60,19,54,35.2,6,27,22.2,16,17,94.1,2,12,14,9,8,4,0,5,94,0,0,26
Reece Beekman,BKN,23,30,12,18,333.3,60,24,77,31.2,6,31,19.4,6,11,54.5,8,18,26,38,16,19,2,22,195,0,0,-64
Bruno Fernando,TOR,26,17,2,15,146.6,58,26,49,53.1,0,0,0.0,6,8,75.0,21,30,51,18,14,4,9,27,171,0,0,-22
Alex Reese,PHI,25,11,3,8,161.5,57,20,40,50.0,11,29,37.9,6,8,75.0,7,26,33,3,5,8,8,17,144,0,0,36
Tristan Thompson,CLE,34,36,30,6,256.1,57,26,57,45.6,0,3,0.0,5,22,22.7,24,74,98,23,11,1,8,30,225,0,0,-57
Baylor Scheierman,BOS,24,21,19,2,196.9,56,19,54,35.2,13,41,31.7,5,6,83.3,8,25,33,17,3,7,1,13,142,0,0,0
Mitchell Robinson,NYK,26,10,6,4,163.3,55,24,35,68.6,0,0,0.0,7,11,63.6,30,25,55,5,6,10,9,15,180,1,0,20
Killian Hayes,BKN,23,6,1,5,162.3,54,18,43,41.9,8,21,38.1,10,12,83.3,5,13,18,31,9,4,4,13,137,0,0,-24
Elfrid Payton,NOP,31,14,1,13,279.1,53,26,70,37.1,0,1,0.0,1,2,50.0,6,31,37,69,29,16,6,23,238,1,0,-81
Kobe Bufkin,ATL,21,10,6,4,123.6,53,18,47,38.3,4,19,21.1,13,18,72.2,5,16,21,17,8,3,2,9,111,0,0,-23
Bronny James,LAL,20,23,14,9,134.7,52,17,52,32.7,7,28,25.0,11,14,78.6,3,10,13,14,10,5,3,11,103,0,0,-58
Dario Šarić,DEN,30,15,7,8,202.9,52,19,56,33.9,7,26,26.9,7,10,70.0,14,35,49,22,14,7,1,18,154,1,0,-43
Oshae Brissett,PHI,26,6,1,5,142.2,52,19,39,48.7,6,18,33.3,8,14,57.1,7,15,22,4,8,4,3,14,97,0,0,-31
Jalen Hood-Schifino,PHI,21,7,3,4,135.6,49,16,42,38.1,8,24,33.3,9,12,75.0,2,10,12,15,5,3,5,13,105,0,0,-24
Ariel Hukporti,NYK,22,25,17,8,217.4,48,21,31,67.7,0,0,0.0,6,13,46.2,14,37,51,11,21,1,15,32,153,0,0,-63
Maxwell Lewis,BKN,22,18,6,12,146.4,48,18,41,43.9,9,17,52.9,3,4,75.0,6,15,21,9,4,6,2,11,107,0,0,4
Patrick Baldwin Jr.,LAC,22,22,1,21,100.6,47,17,33,51.5,11,21,52.4,2,4,50.0,5,17,22,2,5,3,2,5,86,0,0,34
Markieff Morris,LAL,35,14,7,7,131.6,45,16,60,26.7,8,33,24.2,5,6,83.3,3,16,19,15,3,1,2,12,96,0,0,-11
Adam Flagler,OKC,25,29,26,3,134.7,44,17,70,24.3,10,55,18.2,0,0,0.0,5,11,16,8,3,7,3,12,102,0,0,0
Tyler Smith,MIL,20,19,10,9,87.9,44,17,38,44.7,8,21,38.1,2,4,50.0,4,16,20,4,6,2,3,9,83,0,0,10
Oscar Tshiebwe,UTA,25,8,2,6,118.3,43,16,26,61.5,0,0,0.0,11,14,78.6,18,44,62,5,3,6,0,14,140,1,0,32
Drew Peterson,BOS,25,19,13,6,150.8,41,13,29,44.8,9,23,39.1,6,7,85.7,5,25,30,13,6,5,2,13,112,0,0,60
JT Thor,WAS,22,12,8,4,87.7,41,14,28,50.0,4,12,33.3,9,10,90.0,8,6,14,4,6,5,4,9,85,0,0,-30
Dariq Whitehead,BKN,20,10,3,7,58.6,39,13,27,48.1,12,23,52.2,1,3,33.3,1,5,6,1,6,3,1,2,54,0,0,-8
Nate Williams,HOU,26,14,11,3,85.5,39,16,38,42.1,4,17,23.5,3,4,75.0,1,6,7,5,9,5,4,10,73,0,0,-6
Lamar Stevens,MEM,27,9,4,5,97.3,38,13,32,40.6,5,15,33.3,7,9,77.8,3,26,29,5,6,4,3,10,95,0,0,47
Chris Duarte,CHI,27,17,4,13,74.5,36,12,26,46.2,6,15,40.0,6,8,75.0,5,15,20,9,1,0,0,7,73,0,0,12
Chuma Okeke,PHI,26,6,1,5,138.5,36,14,24,58.3,8,16,50.0,0,0,0.0,15,19,34,9,3,4,2,3,105,1,0,-36
Isaiah Jackson,IND,23,5,1,4,83.9,35,14,23,60.9,0,0,0.0,7,14,50.0,11,17,28,5,5,3,8,14,104,0,0,10
Enrique Freeman,IND,24,20,6,14,139.5,34,12,25,48.0,1,6,16.7,9,15,60.0,6,13,19,8,5,2,2,18,76,0,0,-53
Elijah Harkless,UTA,25,10,1,9,138.0,32,11,35,31.4,7,25,28.0,3,6,50.0,9,12,21,8,3,10,1,18,99,0,0,31
Garrett Temple,TOR,38,25,10,15,182.5,32,9,42,21.4,5,20,25.0,9,10,90.0,5,19,24,26,10,14,2,23,138,0,0,-18
Josh Richardson,MIA,31,8,4,4,149.5,32,11,38,28.9,6,22,27.3,4,4,100,6,6,12,12,8,8,1,17,83,0,0,-31
Markelle Fultz,SAC,26,13,6,7,96.1,31,14,37,37.8,2,5,40.0,1,1,100,3,5,8,11,10,6,1,5,68,0,0,11
TyTy Washington Jr.,PHX,23,13,3,10,102.9,31,12,39,30.8,4,20,20.0,3,4,75.0,4,8,12,15,3,3,0,4,74,0,0,-7
Jaylen Martin,WAS,21,9,2,7,80.4,30,12,31,38.7,4,9,44.4,2,2,100,5,14,19,4,7,2,0,2,58,0,0,-29
Xavier Tillman,BOS,26,29,23,6,206.9,30,12,46,26.1,5,27,18.5,1,2,50.0,9,29,38,7,12,9,5,16,116,0,0,-5
Alex Ducas,OKC,24,19,18,1,96.2,29,10,25,40.0,9,18,50.0,0,0,0.0,6,13,19,3,4,5,0,7,67,0,0,-33
Kevin Knox II,GSW,25,7,6,1,50.9,28,11,24,45.8,3,11,27.3,3,4,75.0,6,5,11,4,1,1,4,5,61,0,0,-9
Marcus Garrett,CHA,26,4,1,3,79.4,28,11,27,40.7,3,8,37.5,3,4,75.0,1,5,6,13,6,3,2,10,64,0,0,-39
Matt Ryan,NYK,27,19,14,5,67.8,28,10,31,32.3,6,19,31.6,2,2,100,0,8,8,3,3,2,0,1,45,0,0,-40
Matisse Thybulle,POR,28,5,4,1,75.9,27,11,22,50.0,4,11,36.4,1,2,50.0,4,14,18,5,0,11,3,1,98,0,0,24
PJ Hall,DEN,23,18,11,7,61.6,26,11,20,55.0,1,7,14.3,3,4,75.0,5,14,19,4,2,0,4,10,65,0,0,0
Pacome Dadiet,NYK,19,15,11,4,98.0,26,9,28,32.1,6,18,33.3,2,3,66.7,0,14,14,5,2,3,2,6,63,0,0,-9
Daeqwon Plowden,ATL,26,2,1,1,32.7,24,8,10,80.0,6,8,75.0,2,2,100,3,2,5,0,1,0,0,5,29,0,0,12
Jazian Gortman,DAL,22,16,8,8,56.6,24,9,23,39.1,4,11,36.4,2,4,50.0,1,4,5,6,5,2,1,9,43,0,0,11
Kylor Kelley,DAL,27,8,3,5,66.7,24,10,13,76.9,0,0,0.0,4,6,66.7,8,13,21,2,1,0,2,8,57,1,0,-36
Yuki Kawamura,MEM,23,20,16,4,63.1,24,8,22,36.4,4,16,25.0,4,6,66.7,0,7,7,14,4,1,0,7,52,0,0,0
Mason Jones,SAC,26,9,4,5,42.8,23,9,18,50.0,1,8,12.5,4,5,80.0,2,6,8,10,1,0,1,3,50,0,0,1
Sidy Cissoko,POR,20,20,10,10,60.9,22,9,18,50.0,3,7,42.9,1,6,16.7,4,7,11,6,3,1,0,7,44,0,0,-2
Spencer Jones,DEN,23,17,11,6,94.1,22,9,25,36.0,1,12,8.3,3,3,100,6,6,12,2,4,5,3,13,59,0,0,-26
Chris Livingston,MIL,21,17,12,5,77.7,21,7,19,36.8,0,6,0.0,7,10,70.0,8,16,24,2,5,5,0,5,63,0,0,-20
Tony Bradley,IND,27,7,6,1,35.2,21,10,12,83.3,1,1,100,0,2,0.0,7,6,13,3,3,1,3,2,50,0,0,-3
JD Davison,BOS,22,11,10,1,50.2,20,6,13,46.2,3,8,37.5,5,7,71.4,1,6,7,4,7,3,0,1,36,0,0,-34
Jae Crowder,SAC,34,7,2,5,91.6,20,6,17,35.3,3,12,25.0,5,6,83.3,6,11,17,4,4,3,0,10,51,0,0,-14
Trey Alexander,DEN,21,20,12,8,85.4,19,7,26,26.9,2,10,20.0,3,4,75.0,0,9,9,8,3,1,1,8,45,0,0,-7
Leonard Miller,MIN,21,10,8,2,27.1,18,5,14,35.7,0,5,0.0,8,8,100,3,8,11,0,2,2,1,2,38,0,0,-13
Pete Nance,MIL,25,9,5,4,77.7,17,6,18,33.3,4,14,28.6,1,2,50.0,2,8,10,3,0,1,0,10,37,0,0,-12
Jackson Rowe,GSW,28,5,3,2,42.7,16,6,15,40.0,2,9,22.2,2,4,50.0,0,8,8,3,1,3,0,4,38,0,0,14
Keshad Johnson,MIA,23,10,5,5,57.0,16,7,12,58.3,1,4,25.0,1,6,16.7,2,15,17,3,3,1,4,5,53,0,0,1
Malachi Flynn,CHA,26,4,2,2,43.7,16,5,13,38.5,1,4,25.0,5,6,83.3,3,4,7,7,4,3,0,4,40,0,0,1
Vlatko Čančar,DEN,27,10,2,8,93.6,16,7,16,43.8,2,7,28.6,0,0,0.0,6,20,26,7,8,1,1,8,56,0,0,8
E.J. Liddell,CHI,24,7,2,5,32.9,15,5,10,50.0,3,8,37.5,2,2,100,1,4,5,3,2,1,1,8,30,0,0,5
Joe Ingles,MIN,37,19,12,7,114.1,15,6,23,26.1,3,15,20.0,0,0,0.0,2,9,11,23,9,2,0,12,60,0,0,2
Armel Traoré,LAL,22,9,5,4,66.7,14,6,19,31.6,0,7,0.0,2,7,28.6,2,13,15,1,3,4,2,6,49,0,0,-49
Jack McVeigh,HOU,28,7,5,2,28.4,14,5,13,38.5,4,10,40.0,0,0,0.0,1,3,4,1,1,0,1,1,22,0,0,7
Taylor Hendricks,UTA,21,3,0,3,74.5,14,4,18,22.2,3,12,25.0,3,4,75.0,5,10,15,2,2,5,4,8,60,0,0,-22
Bryce McGowens,POR,22,13,8,5,32.0,13,4,14,28.6,0,4,0.0,5,6,83.3,2,1,3,2,4,1,0,3,19,0,0,-4
Cam Christie,LAC,19,8,5,3,40.8,13,5,15,33.3,2,10,20.0,1,2,50.0,1,6,7,5,2,3,0,2,36,0,0,9
Isaiah Crawford,SAC,23,11,6,5,37.0,13,5,9,55.6,1,4,25.0,2,4,50.0,1,7,8,0,1,1,1,2,28,0,0,13
Keion Brooks Jr.,NOP,24,4,0,4,52.5,13,5,9,55.6,1,4,25.0,2,4,50.0,1,8,9,3,4,0,3,6,33,0,0,-41
Stanley Umude,MIL,25,20,13,7,64.5,12,4,23,17.4,2,13,15.4,2,4,50.0,4,11,15,3,2,3,3,6,51,0,0,-14
N'Faly Dante,HOU,23,1,0,1,18.6,10,4,6,66.7,0,0,0.0,2,3,66.7,4,5,9,1,1,0,2,4,27,0,0,2
Nae'Qwan Tomlin,CLE,24,3,3,0,14.5,10,4,8,50.0,0,2,0.0,2,3,66.7,1,5,6,0,1,0,0,2,16,0,0,-2
Lester Quinones,NOP,24,4,1,3,17.0,9,4,8,50.0,0,3,0.0,1,1,100,3,1,4,1,4,0,0,0,11,0,0,-4
Liam Robbins,MIL,25,13,8,5,57.0,9,2,8,25.0,0,2,0.0,5,10,50.0,7,5,12,2,6,2,2,9,32,0,0,-5
Trentyn Flowers,LAC,20,2,0,2,15.8,9,4,9,44.4,0,2,0.0,1,1,100,1,3,4,0,1,0,0,3,13,0,0,13
Adama Sanogo,CHI,23,4,2,2,21.5,8,4,7,57.1,0,0,0.0,0,0,0.0,5,1,6,1,1,0,0,1,16,0,0,-5
James Johnson,IND,38,12,5,7,36.6,8,4,11,36.4,0,3,0.0,0,1,0.0,0,6,6,4,4,0,2,5,23,0,0,-9
Luke Travers,CLE,23,9,8,1,54.6,8,3,11,27.3,0,4,0.0,2,2,100,5,7,12,5,5,1,1,4,31,0,0,-4
